iter	Passed	Remaining
827	15714	8957
828	15732	8938
829	15751	8919
830	15770	8900
831	15789	8881
832	15807	8861
833	15825	8842
834	15844	8823
835	15862	8803
836	15880	8784
837	15899	8765
838	15918	8746
839	15936	8727
840	15955	8708
841	15973	8688
842	15992	8669
843	16010	8650
844	16028	8630
845	16046	8611
846	16065	8592
847	16085	8573
848	16105	8555
849	16124	8536
850	16145	8518
851	16164	8499
852	16184	8481
853	16204	8462
854	16224	8444
855	16243	8425
856	16262	8406
857	16280	8387
858	16298	8367
859	16317	8348
860	16335	8328
861	16353	8309
862	16372	8290
863	16390	8271
864	16409	8252
865	16427	8232
866	16446	8213
867	16464	8194
868	16483	8175
869	16501	8155
870	16520	8136
871	16538	8117
872	16557	8098
873	16575	8079
874	16593	8059
875	16611	8040
876	16629	8021
877	16647	8001
878	16666	7982
879	16684	7963
880	16703	7943
881	16721	7924
882	16740	7905
883	16759	7886
884	16777	7867
885	16795	7848
886	16813	7828
887	16832	7809
888	16850	7790
889	16869	7771
890	16887	7751
891	16905	7732
892	16924	7713
893	16943	7694
894	16961	7675
895	16980	7656
896	16998	7636
897	17016	7617
898	17035	7598
899	17053	7579
900	17071	7560
901	17090	7540
902	17108	7521
903	17126	7502
904	17144	7483
905	17162	7463
906	17181	7444
907	17200	7425
908	17218	7406
909	17236	7387
910	17255	7367
911	17273	7348
912	17292	7329
913	17310	7310
914	17328	7291
915	17347	7272
916	17365	7253
917	17383	7233
918	17402	7214
919	17420	7195
920	17440	7176
921	17459	7158
922	17479	7139
923	17498	7120
924	17518	7101
925	17537	7083
926	17556	7064
927	17576	7045
928	17595	7026
929	17614	7007
930	17633	6988
931	17651	6969
932	17669	6950
933	17687	6931
934	17705	6911
935	17724	6892
936	17742	6873
937	17761	6854
938	17780	6835
939	17798	6816
940	17816	6797
941	17835	6778
942	17853	6758
943	17871	6739
944	17889	6720
945	17907	6701
946	17925	6681
947	17943	6662
948	17961	6643
949	17980	6624
950	17998	6605
951	18016	6585
952	18035	6566
953	18054	6548
954	18072	6528
955	18090	6509
956	18109	6490
957	18127	6471
958	18145	6452
959	18163	6432
960	18182	6413
961	18200	6394
962	18219	6375
963	18238	6356
964	18257	6337
965	18275	6318
966	18294	6299
967	18312	6280
968	18331	6261
969	18349	6242
970	18368	6223
971	18388	6205
972	18406	6186
973	18425	6167
974	18444	6148
975	18463	6129
976	18482	6110
977	18501	6091
978	18520	6072
979	18539	6053
980	18558	6034
981	18577	6015
982	18595	5996
983	18614	5977
984	18633	5959
985	18652	5940
986	18671	5921
987	18690	5902
988	18709	5883
989	18728	5864
990	18746	5845
991	18765	5826
992	18784	5807
993	18802	5788
994	18820	5769
995	18839	5750
996	18858	5731
997	18877	5712
998	18896	5693
999	18914	5674
1000	18933	5655
1001	18951	5636
1002	18970	5617
1003	18988	5598
1004	19006	5579
1005	19025	5560
1006	19044	5541
1007	19064	5522
1008	19084	5503
1009	19104	5485
1010	19123	5466
1011	19144	5448
1012	19164	5429
1013	19183	5410
1014	19201	5391
1015	19220	5372
1016	19239	5353
1017	19258	5334
1018	19276	5315
1019	19294	5296
1020	19313	5277
1021	19332	5258
1022	19350	5239
1023	19369	5220
1024	19389	5201
1025	19408	5183
1026	19427	5164
1027	19444	5144
1028	19463	5126
1029	19481	5106
1030	19500	5087
1031	19518	5068
1032	19537	5049
1033	19555	5030
1034	19573	5011
1035	19592	4992
1036	19610	4973
1037	19628	4954
1038	19648	4935
1039	19667	4916
1040	19686	4897
1041	19704	4878
1042	19722	4859
1043	19741	4840
1044	19759	4821
1045	19778	4802
1046	19796	4783
1047	19815	4764
1048	19833	4745
1049	19851	4726
1050	19870	4707
1051	19888	4688
1052	19907	4669
1053	19926	4650
1054	19945	4631
1055	19964	4612
1056	19983	4594
1057	20002	4575
1058	20020	4556
1059	20039	4537
1060	20058	4518
1061	20076	4499
1062	20095	4480
1063	20114	4461
1064	20132	4442
1065	20151	4423
1066	20171	4404
1067	20189	4385
1068	20208	4366
1069	20226	4347
1070	20245	4328
1071	20264	4310
1072	20288	4292
1073	20310	4273
1074	20331	4255
1075	20351	4236
1076	20370	4217
1077	20390	4199
1078	20411	4180
1079	20431	4161
1080	20450	4143
1081	20470	4124
1082	20489	4105
1083	20509	4086
1084	20528	4067
1085	20548	4049
1086	20568	4030
1087	20587	4011
1088	20607	3992
1089	20626	3973
1090	20646	3955
1091	20665	3936
1092	20685	3917
1093	20703	3898
1094	20722	3879
1095	20740	3860
1096	20758	3841
1097	20777	3822
1098	20795	3803
1099	20814	3784
1100	20833	3765
1101	20852	3746
1102	20870	3727
1103	20890	3708
1104	20908	3689
1105	20927	3670
1106	20946	3651
1107	20965	3633
1108	20984	3614
1109	21002	3595
1110	21021	3576
1111	21039	3557
1112	21058	3538
1113	21076	3519
1114	21095	3500
1115	21114	3481
1116	21133	3462
1117	21153	3443
1118	21171	3424
1119	21191	3405
1120	21210	3386
1121	21229	3368
1122	21249	3349
1123	21268	3330
1124	21286	3311
1125	21305	3292
1126	21324	3273
1127	21343	3254
1128	21362	3235
1129	21381	3216
1130	21400	3197
1131	21420	3178
1132	21440	3160
1133	21460	3141
1134	21479	3122
1135	21499	3103
1136	21517	3084
1137	21537	3065
1138	21555	3046
1139	21574	3028
1140	21593	3009
1141	21612	2990
1142	21630	2971
1143	21649	2952
1144	21668	2933
1145	21686	2914
1146	21704	2895
1147	21724	2876
1148	21743	2857
1149	21762	2838
1150	21781	2819
1151	21799	2800
1152	21819	2781
1153	21837	2762
1154	21856	2743
1155	21874	2724
1156	21893	2705
1157	21913	2687
1158	21932	2668
1159	21952	2649
1160	21971	2630
1161	21990	2611
1162	22009	2592
1163	22028	2573
1164	22046	2554
1165	22064	2535
1166	22083	2516
1167	22102	2497
1168	22121	2479
1169	22141	2460
1170	22160	2441
1171	22179	2422
1172	22199	2403
1173	22219	2384
1174	22238	2365
1175	22257	2346
1176	22277	2328
1177	22295	2309
1178	22314	2290
1179	22333	2271
1180	22351	2252
1181	22369	2233
1182	22388	2214
1183	22407	2195
1184	22426	2176
1185	22445	2157
1186	22463	2138
1187	22482	2119
1188	22501	2100
1189	22520	2081
1190	22538	2062
1191	22557	2043
1192	22576	2024
1193	22595	2005
1194	22614	1987
1195	22634	1968
1196	22653	1949
1197	22671	1930
1198	22690	1911
1199	22709	1892
1200	22728	1873
1201	22747	1854
1202	22765	1835
1203	22784	1816
1204	22803	1797
1205	22822	1778
1206	22840	1759
1207	22860	1741
1208	22878	1722
1209	22897	1703
1210	22916	1684
1211	22935	1665
1212	22954	1646
1213	22973	1627
1214	22991	1608
1215	23010	1589
1216	23029	1570
1217	23048	1551
1218	23067	1532
1219	23087	1513
1220	23107	1495
1221	23127	1476
1222	23146	1457
1223	23164	1438
1224	23184	1419
1225	23203	1400
1226	23221	1381
1227	23241	1362
1228	23260	1343
1229	23280	1324
1230	23299	1306
1231	23319	1287
1232	23338	1268
1233	23357	1249
1234	23376	1230
1235	23395	1211
1236	23414	1192
1237	23433	1173
1238	23452	1154
1239	23472	1135
1240	23491	1116
1241	23510	1097
1242	23530	1079
1243	23549	1060
1244	23568	1041
1245	23588	1022
1246	23607	1003
1247	23626	984
1248	23645	965
1249	23663	946
1250	23683	927
1251	23702	908
1252	23721	889
1253	23741	870
1254	23760	851
1255	23779	833
1256	23798	814
1257	23818	795
1258	23837	776
1259	23857	757
1260	23876	738
1261	23895	719
1262	23915	700
1263	23934	681
1264	23953	662
1265	23973	643
1266	23993	624
1267	24011	605
1268	24030	587
1269	24050	568
1270	24070	549
1271	24089	530
1272	24108	511
1273	24128	492
1274	24147	473
1275	24166	454
1276	24186	435
1277	24204	416
1278	24223	397
1279	24243	378
1280	24263	359
1281	24283	340
1282	24302	322
1283	24321	303
1284	24341	284
1285	24360	265
1286	24380	246
1287	24398	227
1288	24417	208
1289	24437	189
1290	24457	170
1291	24477	151
1292	24495	132
1293	24515	113
1294	24534	94
1295	24553	75
1296	24572	56
1297	24591	37
1298	24609	18
1299	24628	0
